Año,NoMes,Mes,Costo diario (Q),Costo mensual (Q),Variación mensual %,Variación interanual %
2010,5,Mayo,66.42,1993,-0.18,2.05
2010,6,Junio,67.49,2025,1.61,3.55
2010,7,Julio,67.82,2035,0.49,3.91
2010,8,Agosto,67.24,2017,-0.86,3.96
2010,9,Septiembre,67.67,2030,0.64,3.99
2010,10,Octubre,69.64,2089,2.91,7.04
2010,11,Noviembre,71.28,2138,2.35,11.53
2010,12,Diciembre,71.64,2149,0.51,13.28
2011,1,Enero,72.42,2173,1.09,12.09
2011,2,Febrero,72.91,2187,0.68,11.88
2011,3,Marzo,74.16,2225,1.71,11.02
2011,4,Abril,75.09,2253,1.25,12.85
2011,5,Mayo,75.40,2262,0.41,13.52
2011,6,Junio,76.92,2308,2.02,13.97
2011,7,Julio,79.20,2376,2.96,16.78
2011,8,Agosto,80.11,2403,1.15,19.14
2011,9,Septiembre,79.45,2384,-0.82,17.41
2011,10,Octubre,79.91,2397,0.58,14.75
2011,11,Noviembre,80.52,2416,0.76,12.96
2011,12,Diciembre,81.34,2440,1.02,13.54
2012,1,Enero,81.66,2450,0.39,12.76
2012,2,Febrero,83.14,2494,1.81,14.03
2012,3,Marzo,83.37,2501,0.28,12.42
2012,4,Abril,83.77,2513,0.48,11.56
2012,5,Mayo,84.07,2522,0.36,11.50
2012,6,Junio,84.47,2534,0.48,9.82
2012,7,Julio,85.28,2558,0.96,7.68
2012,8,Agosto,85.53,2566,0.29,6.77
2012,9,Septiembre,86.17,2585,0.75,8.46
2012,10,Octubre,86.56,2597,0.45,8.32
2012,11,Noviembre,86.97,2609,0.47,8.01
2012,12,Diciembre,87.26,2618,0.33,7.28
2013,1,Enero,87.98,2639,0.83,7.74
2013,2,Febrero,89.75,2693,2.01,7.95
2013,3,Marzo,90.79,2724,1.16,8.90
2013,4,Abril,91.03,2731,0.26,8.67
2013,5,Mayo,92.40,2772,1.50,9.91
2013,6,Junio,94.30,2829,2.06,11.64
2013,7,Julio,94.31,2829,0.01,10.59
2013,8,Agosto,94.04,2821,-0.29,9.95
2013,9,Septiembre,94.60,2838,0.60,9.78
2013,10,Octubre,94.71,2841,0.12,9.42
2013,11,Noviembre,96.55,2897,1.94,11.02
2013,12,Diciembre,96.67,2900,0.12,10.78
2014,1,Enero,97.41,2922,0.77,10.72
2014,2,Febrero,97.65,2930,0.25,8.80
2014,3,Marzo,98.17,2945,0.53,8.13
2014,4,Abril,98.88,2966,0.72,8.62
2014,5,Mayo,99.40,2982,0.53,7.58
2014,6,Junio,100.41,3012,1.02,6.48
2014,7,Julio,101.30,3039,0.89,7.41
2014,8,Agosto,102.82,3085,1.50,9.34
